Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,1514.35,-1.11,1150438.17,211.49,3213.96
IDEA,EQ,12.9,0,64654.57,16820.4,2105.91
JIOFIN,EQ,383,3.49,243330.78,486.41,1855.21
RELIANCE,EQ,2962.9,0.77,2004606.66,51.75,1527.13
HINDCOPPER,EQ,380.7,4.56,36814.6,387.08,1484.81
SBIN,EQ,768.15,2.36,685544.07,174.52,1327.61
PERSISTENT,EQ,3510,-9.65,54071.55,37.03,1327.41
NTPC,EQ,344.25,-1.8,333807.73,373.83,1292.7
VOLTAS,EQ,1379.5,6.07,45645.55,89.39,1224.04
ADANIPORTS,EQ,1323.25,1.01,285840.39,89.03,1175.69
ICICIBANK,EQ,1087.45,1.89,763775.32,103.47,1118.58
KOTAKBANK,EQ,1811,1.02,360012.47,61.51,1112.7
IREDA,EQ,170.95,6.38,45947.34,629.35,1087.9
EXIDEIND,EQ,470,5.78,39950,222.47,1027.41
BHARTIARTL,EQ,1302.95,1.08,738623.09,78.95,1022.22
AXISBANK,EQ,1054.8,2.5,325605.49,94.11,988.99
GSPL,EQ,305.45,-19.12,17233.84,310.46,948.29
LT,EQ,3620,2.89,497630.04,26.06,934.74
BAJFINANCE,EQ,7300,2.54,451841.76,11.65,845.94
INFY,EQ,1434.5,1.65,595441.94,58.59,833.86
YESBANK,EQ,25.25,5.43,72638.9,3258.41,805.8
SWSOLAR,EQ,617.65,10,14403.74,130.38,757.75
VEDL,EQ,381.5,-1.15,141811.42,196.26,749.71
GAIL,EQ,199.15,-1.39,130943.11,360.03,716.34
NATIONALUM,EQ,185.9,0.6,34142.98,373.47,701.34
TATAMOTORS,EQ,974.7,1.19,323964.84,71.88,698.56
TCS,EQ,3875.9,1.3,1402334.54,17.29,664.16
INDUSTOWER,EQ,349.05,-0.67,94066.77,188.32,656.33
TATASTEEL,EQ,162.1,0,202357.98,393.05,639.41
CANBK,EQ,599.95,3.66,108838.74,104.89,626.33
ITI,EQ,280,12.81,26904.83,223.82,620.66
ZOMATO,EQ,193.4,2.22,170574.62,287.92,557.76
HINDPETRO,EQ,492,2.84,69792.58,107.77,534.14
BPCL,EQ,604,3.11,131020.67,87.63,529.14
TATAPOWER,EQ,427.9,-0.05,136728.58,121.27,521.16
M&M,EQ,2093,0.48,260270.58,24.49,511.13
HAL,EQ,3785,0.9,253131.34,13.38,504.79
TRENT,EQ,4175,0.39,148416.01,11.79,495.78
PNB,EQ,133.8,4.33,147327.39,375.68,494.32
INDIGO,EQ,3715,4.35,143391.08,12.75,469.99
TEJASNET,EQ,917,18.24,15653.93,52.48,457.89
MOTHERSON,EQ,127.5,0.35,86394.14,356.36,449.76
MARUTI,EQ,12798.95,0.69,402402.28,3.42,437.41
WIPRO,EQ,461.95,2.03,241377.31,94.41,435.65
ARE&M,EQ,1040.8,3.54,19049.28,41.8,431.34
INDUSINDBK,EQ,1480.95,-0.07,115265.29,28.87,427.96
MCX,EQ,3902,2.9,19899.56,10.88,425.51
POWERGRID,EQ,284,0.83,264137.15,149.65,424.2
BEL,EQ,233.7,0.17,170829.53,175.49,409.67
UNIONBANK,EQ,150.75,7.14,115076.6,277.46,409.05
HINDUNILVR,EQ,2245.95,0.64,527706.45,18.04,404.25
SAIL,EQ,149.25,2.19,61648.09,270.95,403.56
MCDOWELL-N,EQ,1160.8,3.36,84430.89,35.3,402.24
HINDALCO,EQ,617.85,0.5,138844.27,65.04,402.18
ASTERDM,EQ,514.7,-1.13,25709.94,75.58,394.4
JUSTDIAL,EQ,1090,2.26,9269.12,36.37,393.8
ONGC,EQ,277.3,0.74,348851.14,141.84,390.81
DIXON,EQ,7831.9,3.98,46851.67,4.74,366.69
FORCEMOT,EQ,9828,5.52,12808.75,3.65,358.06
CDSL,EQ,2011,3.64,21014.95,17.68,351.79
EICHERMOT,EQ,4468,2.85,122336.36,7.81,348.01
BHARTIHEXA,EQ,918,-3.08,45900,36.78,347.46
IRFC,EQ,144.2,2.27,188447.86,236.09,339.71
IOC,EQ,171.1,2.67,241614.39,190.23,325.52
BHEL,EQ,260.95,2.51,90864.44,123.39,317.44
LICHSGFIN,EQ,661.55,2.89,36389.42,46.58,307.49
TATACOMM,EQ,1728,-1.55,49248,17.74,307.1
NESTLEIND,EQ,2460,0.91,237182.66,12.52,307.03
ADANIENT,EQ,3072.25,1.5,350236.84,9.94,303.17
ITC,EQ,425.8,0.25,531650.39,71.12,302.08
PFC,EQ,404.95,1.58,133637.62,74.57,301.68
TVSSCS,EQ,179,-0.89,7879.59,160.47,298.94
SOLARA,EQ,578.8,4.9,2083.46,49.92,293.39
TRIVENI,EQ,359.95,10.77,7879.23,82.22,290.95
NHPC,EQ,88.6,1.66,88999.01,326.91,290.55
WABAG,EQ,1012.35,11.27,6295.85,29.6,289.52
BAJAJ-AUTO,EQ,8800,-0.05,245678.19,3.24,285.12
SIEMENS,EQ,5773,3.28,205588.22,4.93,284.6
HCLTECH,EQ,1472,1.69,399451.5,19.4,284.06
OFSS,EQ,7525.8,-1.01,65231.88,3.78,282.99
COALINDIA,EQ,444,2,273625.14,63.97,282.86
HDFCAMC,EQ,3640,-1.85,77708.18,7.67,281.1
IDFCFIRSTB,EQ,83.25,1.71,58857.12,334.26,277.73
JSWENERGY,EQ,610.6,-2.57,106718.74,43.22,269.72
RECLTD,EQ,435,2.17,114545.24,62.26,269.17
TATACONSUM,EQ,1175.5,3.29,111954.38,22.99,268.04
AUBANK,EQ,608.5,-1.01,45192.55,43.64,266.04
ULTRACEMCO,EQ,9569.45,2.19,276267.45,2.78,265.22
HEROMOTOCO,EQ,4320,2.52,86366.19,6.2,264.48
SUNPHARMA,EQ,1547,1.59,371168.05,16.8,257.59
MAZDOCK,EQ,2169.85,-0.88,43763.7,11.51,251.93
SUZLON,EQ,41,4.19,55775.83,621.15,251.88
